0,pubid,applicants,title,fieldWords,funcWords,problemWords,techWords,similar
23,CN85105365A,冶金工业部第五冶金建设公司$$冶金工业部自动化研究所,车用侧置气门汽油发动机的闭缸节油装置,气门|闭缸节油|车用|车用汽油|汽油发动机,提高动|较提高|提高性|提性能|本提高性能|提高经济性|提高用|提高性能|大提高性|显著降|提高能|用提高性能|较大提高|显著降低|地提高性|大提高|经济性|大提高性能|地提高|幅度提高|提高经济,,发动机|车用汽油,52.22222222222222
24,CN85100979A,董玉海$$陈敦丽,数形结合直列输入式的电子计算器和电子计算机,输入|直列|输入式|特别|特殊|算盘式|电子计算机|电子计算器|数形,提高性|提高子|提高速度|通改进|可靠性|提高度|提高用,,输入|特别|特殊|算盘式|电子计算机|电子计算器,52.22222222222222
25,CN85103320A,丹东市浪头标准件厂$$丹东轴承厂,圆柱滚子轴承双端盖实体保持架及其制造方法,保持架|制造|端盖|实体|圆柱滚子轴承,高精度|加强轴|提效率|提高精度|提高效|降低成本|提高率|降成本|适应强|低成本|高效率|提高效率|提高度,,组合型|实体|圆柱滚子轴承,52.22222222222222
26,CN85200297U,华东师范大学$$上海申华微波炉厂,一种用于电加热的微波加热装置,微波加热,提高热|提高性|提高均匀|高均匀|均匀性|提高了速度|均匀加|加均匀性|提高速度|均匀热|提高均匀性|提高度,,微波加热,52.22222222222222
27,CN85103735A,浙江省建筑科学研究所,高精度直接显示强劲弦张(拉)力的测力电路,测力|高精度|电路|特别|精度|测定|显示,电路降低|高精度|提高差|提高精度|实用强|提高措施|精度降低|数降低|降低差|实用性|降低误差|实用性强|强耐好|提高低|高降低|高精度差|提高度|中降低误差,,测力|电路|特别|精度|测定|显示,52.22222222222222
28,CN85101009A,地质矿产部矿床地质研究所,矿物、微体化石、粉末介质材料的射频高压介电分离技术,分离|介电|高压|发明|粉末|微体化石|矿物|射频|介质材料,成果效率|提效率|高提高率|提高分辨力|明提高效率|度提高效率|分效率|大提高效率|幅度提高度|高高效|高提高效率|提高效|提高率|本提高效率|大效率|提高力|提高效率度|提高分辨度|高效率|获得效率|提高效率|提高纯度|提高度|高提高|成高效|比之提高|大提高|高效度|比提高效率|幅度提高,,矿物,52.22222222222222
29,CN85100285B,北京大学$$潍坊电子计算机公司,高分辨率汉字字形发生器,发生器|字形|高分辨率|汉字,提高性能|提高性|提高能|提高价格比|提性能|降低成本|降成本|低成本|便于维护|提高比|提高价格|有利降低|大减少|便于生产,,,51.66666666666667
30,CN85100285A,北京大学$$潍坊电子计算机公司,高分辨率汉字字形发生器,发生器|字形|高分辨率|汉字,提高性能|提高性|提高能|提高价格比|提性能|降低成本|降成本|低成本|便于维护|提高比|提高价格|有利降低|大减少|便于生产,,,51.66666666666667
31,CN85200128U,南京工学院,差动压实造型机,压实|机器|造型机|制造砂型|差动,减少工时|内降低|内提高|降低高度|获得准确|提高型|紧实度|提高度|提高实度,,,51.66666666666667
32,CN85200499U,长沙矿山研究院$$上海有色金属焊接材料厂,耐磨合金焊条,耐磨合金|焊条,提供性|提供好|提高性|提性能|性能成本|成本低|耐磨性|比降低％|提高性能用|提高性寿命|提高磨性|提高用|提高性能|用提高寿命|比提高倍|提成本低|性寿命|提供性能|提高耐|磨损寿命|本新型提供|提供能|性成本|性能好|提高寿命|性能低|性能耐|节省元|提高倍|用提高性能|性能高|提高能|性能好低|用成本低|提供成本|成本低耐|实用成本低|能成本|好成本低|耐磨性能好|提供成本低|提高耐磨性|成本低的|实用好,,,51.66666666666667
33,CN85200867U,雷良榆,一种柔性齿齿轮,柔性|齿齿轮,提高长比|提高性|性寿命|延长寿命|提高性寿命|提高寿命|可靠性,,,51.66666666666667
34,CN85100316A,东北工学院,双金属带剪切变形固相复合工艺技术及装置,生产双金属|双金属|复合工艺|带材|剪切变形|固相,提高收得率|提高得率|提高量,,,51.66666666666667
35,CN85100044B,清华大学,深水池式供热堆,供热堆|低温|深水池,简单小大|保性能|具有安全|简单高安全|持简单|简单有|简单高|简单安全小|性能优|度安全性|提结构简单|明结构简单|简单性|本结构简单|供结构简单|提高经济|简单性小|简单小|安全小高|提供结构|简单小高|简单安全|简单度性能|简单有安全|持简单高|简单经济|简单高小|安全性好|提供热|简单高广|提高效|简单性能|保安全|有安全性|高安全|提高温度|提高水|保结构简单|简单能|安全性能|结构简单|安全经济|构简单|安全小|提高度|提供简单|明简单|安全性|持结构简单|结构安全|简单小少|提效益|简单小光|简单安全性|安全好|简单度|本提供简单|简单高少|保持简单,,供热堆|低温,51.111111111111114
36,CN85100523A,于志伟,可集成化的高频宽带超线性放大器及其制造方法,组合|可集成化|应用领域|直流|线性|负反馈|任意组合|薄膜生产|放大器|厚膜|宽带|任意|生产|制造|稳定|集成|低频|高频|反馈|可靠|性能|低噪声,超饱稳定|高稳定|用自动化|自动化制|稳定加|稳定低|复杂多|可自动|自动化|稳定噪声,,组合|厚膜|生产|任意|直流|稳定|宽带|反馈|线性|负反馈|集成|低频|任意组合|可靠|薄膜生产|性能|高频|低噪声,51.111111111111114
37,CN85103708A,浙江大学,短线微差起爆器,点火器|起爆器|点火装置|微差,提高动|成本高|降低条件|降低动|成本高少|降低成本|成本优|降成本|提高效|低成本|低提高|提高条件|提高工|提高工效|精度高|低成本高|能成本,,点火器|点火装置,51.111111111111114
38,CN85100979B,董玉海$$陈敦丽,数形结合直列输入式的电子计算器和电子计算机,输入|直列|输入式|特别|特殊|算盘式|电子计算机|电子计算器|数形,提高子|通改进|提高速度|提高度,,输入|特别|特殊|算盘式|电子计算机|电子计算器,51.111111111111114
39,CN85103205A,杨怀祥$$朱洪珍,釜底波轮搅拌器反应釜,搅拌器|化工领域|粉沫|玻璃|搅拌混合|新颖|流体物料|搅拌设备|波轮|釜底|物料|反应釜,备稳定性|提高性|高稳定|提高稳定|提高稳定性|提稳定性|降成本|降低成本|提高设备|提高备|提高定性|稳定性|设备稳定,,搅拌器|化工领域|粉沫|玻璃|搅拌混合|新颖|流体物料|搅拌设备|物料|反应釜,51.111111111111114
40,CN85102425A,杨士钧,卷烟制丝新工艺及其新设备,卷烟制丝|卷烟|新工艺,简单合理|简单紧凑|减少工序|紧凑合理|减少破碎|流程简单|增加长|提高纯度|提高度,,卷烟|制造,51.111111111111114
