0,pubid,applicants,title,fieldWords,funcWords,problemWords,techWords,similar
93,CN85100915A,机械工业部郑州机械研究所,用于喷砂磨蚀的透明砂粉混合罐,TM|VOL|Air|CE|GE|Laboratory|混合罐|喷砂|ALN|ras|Re|砂粉|样本|.1|Limited|磨蚀|杂志|STR|19|Ab|76|GB|106|NO|Model|透明,,,空气,50.0
94,CN85100834B,航天工业部八五一一研究所,除氧剂,封存|粮食|食品|除氧剂|化学|档案,,,封存|粮食|食品|除氧剂|化学|档案,50.0
95,CN85100834A,航天工业部八五一一研究所,除氧剂,封存|粮食|食品|除氧剂|化学|档案,,,封存|粮食|食品|除氧剂|化学|档案,50.0
96,CN85100588A,陈明远,声韵式全音节同步输入电脑健盘,声韵|电脑|中文信息处理|计算机|音节|同步输入,能快速,,计算机|中文信息处理,50.0
97,CN85102410A,孙义昌,内燃机排气消声器,排气系统|汽车|特别|消声器|内燃机|排气消声器,输出功率|提高比,,排气系统|特别|消声器|拖拉机|内燃机|汽车,50.0
98,CN85100100A,清华大学,汽车变速比循环球式转向器,变速|球式转向器|汽车|循环,方向角|比增加％|间增加|向增加|和增加|随增加,,变速|循环|汽车转向,50.0
99,CN85100588B,陈明远,声韵式全音节同步输入电脑健盘,声韵|电脑|中文信息处理|计算机|音节|同步输入,能快速|快速输入,,计算机|中文信息处理,50.0
100,CN85100032B,天津大学$$交通部第一航务工程勘察设计院天津市橡胶工业研究所,海船闸的隔膜防咸省水方法和设施,船闸|设施|海水入侵|船舶|隔膜|咸省,,,咸省,50.0
101,CN85100913B,国营黄石纺织机械厂,复合导布辊的制造方法,制造|纺织印染机械|复合|导布辊|主要,比提高％|工艺简单|抗能力强|克服缺陷|强性能|能力性能|强提高|抗性能|强耐好|能力强,,制造|纺织印染机械|复合|导布辊|主要,50.0
102,CN85100032A,天津大学$$交通部第一航务工程勘察设计院天津市橡胶工业研究所,隔膜防咸省水船闸,船闸|海水入侵|河道|船舶|隔膜|省水船闸|咸省,,,咸省,50.0
103,CN85100663B,冶金工业部钢铁研究总院,核工业用镍基钎焊料,核工业|钎焊料|镍基,强性能|强耐好|强腐蚀|抗性能,,核工业|新颖|镍基,50.0
104,CN85100037B,清华大学,焊接电源外特性控制法，弧焊机及其电路,控制法|电路|弧焊机|焊接电源,提供特性|提供性|提供动|提供电|可自动,,焊接电源,50.0
105,CN85100275A,北京大学$$潍坊电子计算机公司,照排机和印字机共享的字形发生器和控制器,照排机|发生器|中等|分辨率|高质量|激光|印刷|控制器|办公室|计算机|字形|高分辨率|印字机|共享|校对|前者|汉字,快速低|降低小高|快提高|快速提高|加快速度|快速小立|快速提|速度降低|降低小|降低高效|提效益|提高效|快速小|低高效|快速降低|降低造价|降低体积|快速高效|低提高|快速降,,中等|分辨率|高质量|激光|印刷|办公室|计算机|字形|高分辨率|自动化|校对|前者|汉字,50.0
106,CN85100287B,浙江大学,高压纯气气瓶截止减压两用阀,减压|两用|高压|截止|气瓶|纯气,本紧凑方便|满足度|本结构紧凑|结构紧凑|结构紧凑操|操方便|高要求|紧凑操方便|结构方便|紧凑方便|满足度要求,,高压,50.0
107,CN85100663A,冶金工业部钢铁研究总院,核工业用钎焊料及其制造工艺,核工业|新颖|钎焊料|制造工艺,强性能|强耐好|强腐蚀|抗性能,,核工业|新颖|镍基,50.0
108,CN85100001A,航天工业部第二研究院二○七所,可变光学滤波实时假彩色显示的方法和装置,光学|可变|假彩色|光学滤波|显示,明显示,,光学,50.0
109,CN85105662A,浙江大学,同步——异步变速恒频发电机,异步|恒频发电|同步|变速,制造方便|发方便,,,50.0
110,CN85101000A,郑州工学院,一种脱除硫化氢的方法,天然气|催化|硫化氢|脱除|水煤气|除去|气体|合成气|二氧化碳|化学工业,,,天然气|催化|硫化氢|脱除|水煤气|除去|气体|合成气|二氧化碳|化学工业,50.0
111,CN85102382A,华中工学院,谐波起动方法及按该方法起动的电动机,交流电动机|电动机|谐波|转子绕组|起动|联结,型效率|型提高|提效率|提高运行率|提高效|改善性,,起动|联结|交流电动机|转子绕组,50.0
112,CN85103824A,东北输油管理局铁岭机修厂,锡青铜铸件的压力铸造法,青铜铸件,寿命降低|提高产|提高生产率|提高率|提高产率|寿命低|使用寿命,,青铜铸件,50.0
113,CN85103387A,吉永祥,一种荨麻疹药的生产方法,治疗荨麻疹|疗法|生产|药品|荨麻疹,提高大|提高效|提高取|提高提取量|有效成分|提高效用|提高疗效|提高用,,治疗荨麻疹|疗法|生产|药品|荨麻疹,50.0
114,CN85101831A,郑子良,酱油制作方法,花生麸|酱油制作|制作方法|制作|发明|原料|调味品,操方便|成本低,,制作|花生麸|调味品|原料,50.0
115,CN85103271A,北京农业机械化学院,新型多用旋转耕作部件,耕作|新型|部件|旋转,具有简单|有结构简单|结构广|性能好|性能性|简单好|简单好适应|简单良好|简单适应|简单性能好|简单好广|简单广|性良好|简单性|简单性能|简单能|性能良好|结构简单|构简单,,旋转|耕作|新型|耕作机械,50.0
116,CN85100851A,王仲钧,垂直拉帘涂布的方法,运动|生产|涂层|感光材料|垂直拉|均匀|银盐|液体|涂布,能均匀,,运动|生产|涂层|感光材料|均匀|银盐|液体|涂布,50.0
117,CN85100486A,谈诚$$江丽华,摆动活塞内燃发动机,摆动|发动机|活塞内燃|多缸|活塞,结构成本低|简单制造|简单造成低|简单成本低|单成本低|简单制|结构成本|简单成本|制成本低|制造成本|简单造成|成本低|简单低|结构简单|制造成本低|构简单,,摆动|多缸|活塞,50.0
118,CN85102459A,山东省新材料研究所,铬渣人工骨料,骨料|铬渣|人工,节省量|生产成本|降成本|降低投资|节省源,,铬渣|人工,50.0
119,CN85104387A,徐国光,甘薯脱色脱味剂,处理|涤剂|甘薯|褐度|异味|食用|原料|味剂|脱色,提高价值|提高用,,处理|涤剂|甘薯|褐度|异味|食用|原料|脱色,50.0
120,CN85102796A,徐庭中,螺旋弹片自动变速免震轮,弹片|免震|螺旋|自动变速,操简单|自动地|准确动|操方便|自动准确|动准确|准确速度|操方便简单|便简单|构简单|操纵方便|结构简单|准确及时|方便简单,,,50.0
121,CN85104657A,李林森,木工多功能安全刨床,45|牧田|刨削|手工|木工|DN|BL|木工加工|00|刨床|10|检索|25型|PL|VI|Power|部份|生产|制造|11|资料|机械|世界|80|ac|192|Kit|人类|电刨|De|最早|电机制作|多功能安全|TG|LIN|B型,操准确|操作简便|长安全|简便准确|避免人|完全避免,,45|牧田|刨削|手工|木工|DN|BL|木工加工|00|10|检索|25型|PL|VI|Power|部份|生产|制造|11|资料|机械|世界|80|ac|192|Kit|人类|电刨|De|最早|电机制作|TG|LIN|B型,50.0
122,CN85100563A,南京工学院,大功率氦氖激光器,放电|氦氖|截面|大功率|气体激光器|氦氖激光器|毛细管|圆形|气体,大功率,,放电|氦氖|截面|气体激光器|氦氖激光器|毛细管|圆形|气体,50.0
123,CN85104442A,邹宝璋,直筒型双旋风旁路除尘器,双旋风|特别|除尘器|直筒型|旁路,简单便|结构简便|简简便|简单简便|高效除|简单工|结构简单|除高效|构简单,,双旋风|特别|除尘器|直筒型|旁路,50.0
124,CN85103505A,上海市纺织科学研究院,一种手用式空气拈结器,手用式|络纱机|空气|纱线|结器,调节方便|工艺方便|调方便,,纱线|络纱机,50.0
125,CN85102589A,南开大学,按键式快速脉冲“拨号”电子电话机的呼叫系统,按键式|快速|电子|脉冲|拨号|电话机|呼叫,准确工,,电信技术,50.0
126,CN85100915B,机械工业部郑州机械研究所,用于喷砂∴蚀的空气砂粉混合罐,TM|VOL|Air|CE|GE|Laboratory|混合罐|喷砂|ALN|ras|Re|砂粉|样本|.1|Limited|杂志|STR|19|空气|Ab|76|GB|106|NO|Model,结构简单|构简单,,空气,50.0
127,CN85100676A,铁道部科学研究院机车车辆研究所,排气管路隔热装置,特别|燃气轮机|内燃机|排气管路|隔热,具有简单|简单工艺性|效果好|降低面|简单性|降低壁|简单工,,特别|燃气轮机|内燃机|排气管路|隔热,50.0
128,CN85100676B,铁道部科学研究院机车车辆研究所,连气管路隔热装置,特别|燃气轮机|气管路|内燃机|排气管路|隔热,抗性能,,特别|燃气轮机|内燃机|排气管路|隔热,50.0
129,CN85102426A,邸元春$$邸谦,彩色电视机提取基准付载波电路波电路,提取|电路|电视机|彩色电视|载波|基准|PAL|彩色,具有简单|电路简单|简单造价低|简单稳定|电路稳定|有简单稳定|简单低廉|简单低|电稳定|有简单低廉|简单廉|造价低廉|低廉稳定,,PAL|彩色电视,50.0
130,CN85102426B,邸元春$$邸谦,PAL制彩色电视解码器,提取|电视机|基准|彩色电视|载波|解码器|PAL|彩色,具有简单|电路简单|简单造价低|简单稳定|电路稳定|有简单稳定|简单低廉|简单低|电稳定|有简单低廉|简单廉|造价低廉|低廉稳定,,提取|电视机|载波|基准|PAL|彩色,50.0
131,CN85100100B,清华大学,汽车变速比循环球式转向器,变速|球式转向器|汽车|循环,方向角|比增加％|间增加|向增加|和增加|随增加,,变速|循环|汽车转向,50.0
132,CN85100913A,国营黄石纺织机械厂,复合导布辊的制造方法,导布辊|主要|制造|复合,强提高|工艺简单|强耐好|克服缺陷,,复合|主要|导布辊|纺织印染机械,50.0
133,CN85102493A,北京市丰源机械研究所,双曲肋式波纹管,双曲|波纹管|制造|肋式,增加弹性|超饱稳定|温稳定|好稳定性|高稳定|较高稳定|较高好|件稳定性|较稳定|较高的|有稳定性|力稳定|增加性|稳定性|压力稳定性,,波纹管|制造,50.0
134,CN85100678A,铁道部科学研究院机车车辆研究所,孪Ω型挠性元件,仪器仪表|通用机械|挠性|元件|敏感元件|膨胀节|密封元件|补偿元件|自动控制|化工|动力机械|广泛|炼油|联接件|减振元件,,,仪器仪表|通用机械|挠性|元件|敏感元件|膨胀节|密封元件|补偿元件|自动控制|化工|动力机械|广泛|炼油|联接件|减振元件,50.0
135,CN85102493B,北京市丰源机械研究所,双曲肋式波纹管及其制造方法,双曲|波纹管|制造|肋式,增加弹性|超饱稳定|温稳定|好稳定性|高稳定|较高稳定|较高好|件稳定性|较稳定|较高的|有稳定性|力稳定|增加性|稳定性|压力稳定性,,波纹管|制造,50.0
136,CN85100840B,张启风,旋转冲击凿岩机的冲击装置,特别|旋转冲击|采矿|冲击|凿岩机|采石,提高效|提高功率,,特别|旋转冲击|采矿|凿岩机|采石,50.0
137,CN85100820B,北京农业机械化学院,搅刀——拨轮式排肥、排种器,拨轮式|种器|施肥机|排肥|搅刀,好稳定性|确保稳定|确保良好|确保均匀性|确保均匀|保稳定性|良好稳定|好均匀性|稳定性性|均匀性|性均匀性|稳定性|强耐好|确保稳定性,,排肥|施肥机|通用型,50.0
138,CN85100186A,西北工业大学$$宝鸡消防器材厂,火药燃气发射灭火干粉的方法与装置,粉剂|火灾|火药|燃气|电器|干粉|灭火|扑灭|发射,明简单|明结构简单|本结构简单|维护方便|结构简单|构简单,,粉剂|火灾|扑灭|电器,50.0
139,CN85100001B,航天工业部第二研究院二○七所,可变光学滤波实时假彩色显示装置,光学|显示装置|可变|假彩色|光学滤波,强耐好,,光学,50.0
140,CN85100287A,浙江大学,一种用于高压纯气气瓶的截止减压两用阀,减压|两用|高压|截止|气瓶|纯气,本紧凑方便|满足度|本结构紧凑|结构紧凑|结构紧凑操|操方便|高要求|紧凑操方便|结构方便|紧凑方便|满足度要求,,高压,50.0
141,CN85100841A,北京有色金属研究总院,伴有沉淀分离的溶剂莘取装置及其过程,分离|澄清型|混合|溶剂|溶剂萃取|沉淀,适应性强耐|效率性|效率高|高自适应|适应强|效率性强|效率高适用|效率强|强适用|效率高用|适应性强|效率用|强耐好,,分离|澄清型|混合|溶剂萃取|沉淀,50.0
142,CN85103560A,青田县电器技术研究所,一种七柱式叠片型(或卷片型)单铁心的三相饱和电抗器,柱式|铁心|三相|电抗器|叠片型|卷片,,,电工|三相,50.0
143,CN85100014A,天津大学,脱气填料塔,填料塔|脱气,较明显|稳定分布|稳定防|用气稳定|稳定喷|料稳定|稳定用,,,50.0
144,CN85101085A,陈友年,活塞式无曲轴液力传动内燃机,内燃机|无曲轴|活塞式,减少空气|内污染|克服传统|内减少,,,50.0
145,CN85103710A,汤良恕,一种放置在桌面上方便读写的阅读架,阅读架|放置|读写|桌面上,方便阅读|方便读写|放置方便|方便用|方便读,,书刊,50.0
146,CN85102512A,邓景星,离子微波选矿方法及选矿机,机械|离子|微波|选矿,具有简单|小构造简单|效率优|能效率高|构造简单|简单低高|构造简单低|能耗低高|能耗效率|简单低|简单效率|能耗污染|简单无|体积小简单|体积小高|简单低无|小效率高|简单耗|简单效率无|能耗低|简单污染|体积小低|构造简单高|简单无污染|效率无污染|体简单|简单高广|小能耗低|耗效率高|效率高|效率高优|体积小效率|简单能耗低|简单移动|体积小|简单能|简单高无|能耗低无|构简单|能效率|简单效率高|体积小移动|简单率|效率高无|有构造简单|简单高|简单高少|效率无,,机械|选矿,50.0
147,CN85101705A,湖北省武汉钢铁学院,可逆式电动夯实机,可逆式|电动夯实|建筑|夯实|筑路,机简单|克服结构|机结构简单|克服复杂|结构简单,,夯实|筑路|建筑,50.0
148,CN85102592A,南开大学,能产生均匀磁场的马鞍型线圈,线圈|均匀磁场,准确算|准确出|强均匀|均匀出|强准确|均匀准确|强耐好,,均匀磁场,50.0
149,CN85100842A,北京钢铁学院,一种强化电炉冶炼的旋流式煤氧枪,电炉冶炼|强化|氧枪|旋流式,大降低|地降低|幅度降低,,电炉冶炼|强化,50.0
150,CN85102590A,南开大学,一种分离纯化制备神经节苷脂工艺,分离|纯化制备|生物活性|神经节苷脂|制备,大节省|节省量|节省时间|大节省时间|节省用量|节省机|简化中|节省时,,制备|生物活性,50.0
151,CN85103615A,邢乘骏,真空粉末感应堆焊工艺和设备,感应|硬化|堆焊工艺|真空粉末|金属涂层|焊接,提效率|节省高|节省效率|有高效|时间效率|省提高效率|改进高|节省时|和提高|提高效|和节省|省时高效|提高率|提高效率|改进时间|和提高效率|省高效|节省时间|比提高效率|比节省时间|改进时,,金属涂层|焊接|硬化,50.0
152,CN85103300A,哈尔滨铁路局减速顶调速系统研究中心,铁路车辆加速顶,铁路|气动|钢轨|车辆加速|固定|调速,维修方便|显著提高|显著提|安全能力|降低造价|结构简单|构简单|修方便,,气动|钢轨|车辆加速|固定|调速,50.0
153,CN85102864A,中国建筑科学研究院混凝土研究所,单轨道、附着固定扇的推拉窗(门),围护结构|推拉窗|发明|开闭|建筑物|类似物|固定|附着|轨道,节省造价|节省材料|节省材料低,,开闭|围护结构|类似物|建筑物,50.0
154,CN85100033A,天津大学,硬性圆螺旋波导的制造方法,制造|元件|波导|硬性|螺旋,,,波导|元件,50.0
155,CN85102233A,云南省电信器材厂,高频用户环路载波电话设备,载波|高频|电话设备|用户环路,增加设备|增加方|电路稳定|电稳定|稳定下,,,50.0
156,CN85102471A,山东省高唐拖拉机站,机械爬杆车,机械|爬杆|电业|特别,,,机械|爬杆|电业|特别,50.0
157,CN85100389A,机械工业部第八设计研究院,异步电机转矩——转速特性动态测试方法和装置,转矩|异步电机|测试方法|物理,增加力矩|操方便|分别增加|增加矩|投资省短|增加轮|投资省|投资省高|精度高|操作方便,,物理,50.0
158,CN85100827A,华中工学院,定量泵液压系统,定量泵,系统大减少|系统减少|大减少|大幅减少|地减少,,定量泵,50.0
159,CN85100828A,华中工学院$$机械工业部第三勘测分院,一种汽车装载式地质钻机,地质钻机|汽车,方便地访|节省时|能方便地|方便地育|方便移|能方便|方便地放|方便地移|方便地|动力方便|方便地收|方便地测|提高工|方便地撑|方便钻|提高工效|方便地升|方便孔|动方便|方便地输,,,50.0
160,CN85100690A,机械工业部郑州机械研究所,推拉短路过渡焊接方法及其脉动送丝机,推拉|脉动|特别|过渡|短路|送丝机|电弧焊接|CO2|焊接|气体,改进位置|准确动|提供动|动准确|提供准确|能准确|提供能|空间提供,,气体|电弧焊接|特别|CO2,50.0
161,CN85104410A,杨春山,新式高效汽缸,铁路|特别|高效|作功|汽缸|动力输出|活塞往复|蒸汽机车|新式|运行|汽压,有高效|能高效|蒸高效|新高效,,铁路|动力输出|蒸汽机车,50.0
162,CN85100896A,北京电子二厂,半导体表面钝化方法,半导体器件|半导体|表面钝化,备范围,,半导体器件,50.0
163,CN85101994A,交通部上海船舶运输科学研究所,一种工业电脑中文系统,工业,快速操|快速检|快速检索|快速简便,,工业,50.0
164,CN85103440A,修昌珉,一种防冻水龙头,防冻|水龙头|供水系统,装方便|安装方便,,供水系统,50.0
165,CN85100885A,中国科学院化学研究所,聚丙烯的高速纺丝技术,聚丙烯|纺丝|高分子,提效率|效率低成本|效率少|工艺成本|效率降低|提高工|少降低成本|效率减|效率成本|效率降|高降低成本|减少成本|减成本|提高工序|减少工序|提高效|提高率|高减少|高减少成本|效降低成本|率降低|效率降成本|提高成本|效率低|新减少|降低成本|降成本|高成本|提高低|高降低|和降低成本,,高分子,50.0
166,CN85200121U,西安交通大学,一种流体滤波器,流体|滤波器,良好降低,,,50.0
167,CN85200448U,赵松奇,餐桌洗衣机,餐桌|洗衣机,增加能|增加用,,,50.0
168,CN85201024U,张君豪,方便的一次性使用的手电筒,一次性,结构简单|构简单|性方便,,一次性,50.0
169,CN85200460U,陈恒昌,自开自合折叠晴雨伞,晴雨伞|遮阳|可单手操作|折叠|避雨,,,可单手操作|遮阳|避雨,50.0
170,CN85200265U,南京工学院,用霍尔元件测力的电磁激振器,测力|动力分析|霍尔元件|激振|电磁激振器|试验,大提高|配置简单|测量精度,,动力分析|激振|相对式|试验,50.0
171,CN85200467U,周春生$$何执吾,直热式远红外线电热元件,电热元件|远红外线,,,远红外线,50.0
172,CN85200225U,李迎春,一种方便饮茶杯,饮茶|茶杯,适用方便|通方便|车间用方便|像方便|方便上|方便克服,,饮茶,50.0
173,CN85200192U,东北工学院,多段冲击式静电除尘器,分离|气流|冲击式|静电收集|离子|静电除尘器|固体|含尘|新型|联机|检索,结构简单|较好适应|构简单,,分离|气流|静电收集|离子|固体|含尘|新型|联机|检索,50.0
174,CN85200038U,清华大学,微机电压无功综合控制装置,控制|在线控制|电压无功|发明|电力系统|微机|系属,,,在线控制|电力系统|系属|发明,50.0
175,CN85200325U,张国栋,弹簧焊片呈阶梯状排列的电缆连接器,焊片|弹簧|阶梯状|电缆连接器,简单小大|方便寿命长|要求简单|密度寿命长|过寿命|要求方便|方便者|连接方便|大简单|时动简单|简单小|使用简单|便简单|维护寿命长|用方便简单|方便小大|触简单|方便简单长|体积小长|简单小高|电方便|寿命长|连接寿命长|通简单|密度大|连接简单|能简单|方便小高|方便小|能方便简单|方便简单小|过方便|能方便|通方便|方便维护|靠方便|方便长|单体积小|方便寿命|体积小|接方便|维护简单|方便体积小|简单体|大体积小|大方便|解决方便|大方便简单|小寿命长|要简单|使用方便|简单寿命|简单小少|简单寿命长|方便体|简单体积小|简单小光|简单长|大寿命长|接触方便|方便简单,,,50.0
176,CN85200025U,清华大学,聚焦X光衍射计,晶体|聚焦|物质|X光衍射|测试仪器|物理,结构简单,,物质|晶体|测试仪器|物理,50.0
177,CN85200021U,清华大学,微机化通用热量计,介质|测量载体|通用|热量计|传输,,,测量载体|介质|传输,50.0
178,CN85200202U,解志超,路面冰雪破碎装置,公路|交通|破碎|路面冰雪,方便地访|装方便|固紧强|能方便地|方便地育|提效率|能方便|方便地放|提高效|方便地|方便地收|方便地撑|方便上|方便地升|大减少|方便地测|方便地输|方便地破碎,,公路|交通,50.0
179,CN85200076U,鞍山市静电技术研究所,组合化超高压静电发生器,发生器|组合|静电|超高压,本简单节约|具有简单|发方便|小结构简单|简单便于|方便料|体简单方便|重量轻方便|轻结构简单|节约材料|构简单方便|重量轻简单|本方便便于|本结构简单|简单节省|方便节省|方便于|发生方便|本简单方便|方便带|简单便|体积小省|方便等|简单节约|体结构简单|电方便|体积小简单|体积小维护|器结构简单|重量轻|重量轻携带|本简单节省|轻简单|本简单便于|本方便节省|简单维护|发生简单|体积小重量|维护方便|方便便于|发生器|有结构简单|小简单节省|简单带|体积小携带|本便于携带|体简单|方便节约|方便携带|结构方便|有简单方便|轻方便|节省源|体积小|小节约材料|体积小轻|简单能|小便于携带|结构简单|构简单|体积小便于|小简单方便|小方便便于|简单方便|节省能源|本简单维护|轻简单方便|本简单带|方便材料|小重量轻|简单携带|体积小方便|方便省|重量轻便于|重量简单|简单省|方便源|重量轻维护,,静电|超高压,50.0
180,CN85200035U,清华大学,宽带介质波导定向耦合器,介质波导|电路|宽带|定向耦合器|毫米波|性能良好,降低成本|降成本,,电路|宽带|低成本|毫米波|性能良好,50.0
181,CN85200451U,孟武,电磁感应式三用诊断仪,脉象|血压|心电图|医学诊断|仪器|诊断仪|电磁感应式,仪器简单|简单精确|简单测|器结构简单|简单测量|结构简单|构简单,,心电图|脉象|血压,50.0
182,CN85200144U,南京工学院$$南京分析仪器厂,带干燥剂的密封插头座,电极|干燥剂|密封插头|质谱|离子|信号|信号放大器,简单用方便|具有简单|小结构简单|有性能方便|体简单方便|构简单方便|性能优|简单性|简单便|体结构简单|体积小简单|性能方便|有结构简单|能方便|体简单|靠方便|性方便|结构方便|有简单方便|性能可靠|体积小|简单能|结构简单|构简单|小简单方便|简单方便|结构能方便|简单能方便|体积小方便|简单性能,,电极|质谱|离子|信号|信号放大器,50.0
183,CN85200027U,清华大学$$唐山市科委,中速内分离循环燃烧沸腾床装置,分离|动力锅炉|沸腾|固体燃料|化工|中速|工业|燃烧设备|燃烧室|沸腾床|循环燃烧,率降低|提效率|效率低|及降低|提高效|提高率|提高比|效率降低|提高低|高降低|效率降,,动力锅炉|沸腾|固体燃料|化工|工业|燃烧设备|燃烧室,50.0
184,CN85200104U,北京师范大学,一种耐高压内循环无梯度反应器,反应器|化工反应器|耐高压|梯度|化学|循环,利用强|强驱动|强耐好|设计强,,化学|化工反应器,50.0
185,CN85200139U,南京工学院,多瓣环形光电颜色传感器,多瓣|光电|颜色|测量仪器|颜色传感器|环形,实结构简单|具有简单|有结构简单|用结构简单|自增加|本实用简单|本结构简单|构简单|本用简单|结构简单|实用简单|精度高等,,多瓣|光电|颜色|测量仪器|颜色传感器|环形,50.0
186,CN85200438U,张腾广,袖珍剥线钳,线钳|剥线钳|袖珍|电工工具,简化程度,,,50.0
187,CN85200207U,何宪才,机械密码锁,家俱|特殊|设施|保险|机械|密码锁|房门,保性能|方便寿命长|无方便|性能强耐|方便美观|方便等|有方便美观|无性能|寿命长|性寿命|无需方便|保密性|强寿命|无寿命长|性能强|方便性能|方便长|开方便|强寿命长|方便寿命|方便性能强|无性能强|方便用|使用寿命|方便式样|方便强|拉方便|强耐好,,家俱|特殊|设施|保险|房门,50.0
188,CN85200444U,核工业部电机运行技术开发公司,同步电机的继电器组合型失步保护装置,保护装置|同步电机|失步|继电器|组合型,动作可靠|动准确|准确运行|准确便于,,电工|同步电机,50.0
189,CN85200310U,中国科学院物理研究所,高精度双滚筒自驱动百圈电位器,高精度|电位器|双滚筒|新型|自驱动|电子器件,稳定工|高精度|长期稳定工|准确动|高精度自动|准确自动|稳定准确|长稳定|长期稳定|可自动|准确工|器提高,,电子器件|新型,50.0
190,CN85200063U,洛阳市技术开发中心,煤气工业锅炉,特别|高效|工业锅炉|煤气,发生器|提高热|采用高效|提高锅炉|提效率|提高效|提高率|通用性高|高效能|高效型|环境污染|通用性|提高工|提高热效,,特别|高效|工业锅炉|煤气,50.0
191,CN85200212U,化学工业部益阳橡胶机械厂,配制角度镶条和角度平尺的夹具,角度|配制|夹具|磨削角度,比提高工效|提高工效倍|比提高倍|提高效|提高工|提高工效,,角度|磨削角度,50.0
192,CN85200313U,中国科学院物理研究所,高灵敏、快响应的、量热式脉冲激光探测器,特别|热式|探测器|高灵敏|响应|测量|能量|脉冲激光|脉冲激光器|重复频率,探测器|监视稳定性|输出稳定|能稳定性|能量稳定性|能稳定,,特别|热式|探测器|能量|测量|高灵敏|响应|脉冲激光|脉冲激光器|重复频率,50.0
193,CN85200305U,田守信,一种营养钵机械分钵移栽机,移栽机|机械|营养钵|移栽|种苗,提高倍|降低强|效率提高|大大降低|大降低度|大降低|降低劳动强|工作效率|降低度|本实用适用|强耐好|劳动强度|降低动,,具体地讲|机械|营养钵|移栽|种苗,50.0
194,CN85200829U,雷良榆,一种高效率内接钢球式变速器,机械|钢球式|变速器|高效率,传动成本低|强效率|高效接|效率优|强效率低|能效率高|成本低|成本低优|效率成本|能力强|可靠性|有成本低|动效率高|成本优|强高好|强效率高|性成本|强好低|效率高好|效率性|效率好|效率高|效率高优|动能效率|可靠性好|可靠性低|效率低等|高效率|能成本|能力效率|强成本低|成本低等|好成本低|能效率|效率低|高成本|效率成本低|高成本低|强耐好|效率好低,,机械,50.0
195,CN85200493U,湖南省农业机械研究所,固定喷灌四用阀,固定喷灌|固定式喷灌|控制管道|水流|用阀,,,水流|固定式喷灌|控制管道,50.0
196,CN85200496U,长沙矿山研究院,轴孔挡圈钳,拆卸|挡圈|轴孔,,,拆卸,50.0
197,CN85200678U,李铁民,隔膜式水龙头,隔膜式|制造|漏水|简单|水龙头|可靠,具有简单|结构成本低|成本漏|相结构简单|和简单|成本低|简单低|成本低制造|和简单制造|相比简单|有成本低|耐用成本低|成本优|传结构简单|简单成本|耐用成本|比结构简单|有结构简单|单成本低|结构成本|简单耐用|用成本低|结构简单|构简单|和结构简单|成本低等|简单成本低|简单耐|简单制|简单制造,,隔膜式|介质|制造|漏水|简单|可靠,50.0
198,CN85200844U,张茂裕,双灯两档开关,特别|无感|电热|小型|发光发热|家用|双灯|家用电器,,,特别|无感|电热|小型|发光发热|家用|家用电器,50.0
199,CN85200548U,冶金工业部长沙黑色冶金矿山设计研究院,CGD-560型粗颗粒强磁选机,抛除|处理量|强磁选机|粗颗粒|60|围岩|矿石|矿山|弱磁性|磁选设备|CG|指标|选矿,原降低|强降低|较降低,,抛除|处理量|围岩|矿石|矿山|弱磁性|磁选设备|指标|选矿,50.0
200,CN85200341U,孙悦年,自动关门装置,自动关门|建筑用|自动关闭,置结构简单|装结构简单|大降低|成本大|结构简单|构简单|装置简单,,建筑用|自动关闭,50.0
201,CN85200078U,甘健秋,回程式离子交换器,离子交换|工业用水|程式|锅炉|离子交换器|用水,实用适用|本实用适用|增加水量,,离子交换|锅炉|用水|工业用水,50.0
202,CN85200535U,孙克恂,拉线式灯泡延寿节能开关,延寿|拉线式|节能|灯泡,避免长|用节省电能|和节省|灯寿命|避免到|避免电流|避免用|节省电能|避免过|过寿命|开关简单|避免能|使用寿命|构简单,,拉线式|灯泡|照明|延寿,50.0
203,CN85200231U,山东省新材料研究所$$黑龙江省二九○农场,重心始终在中垂线上的起重机,中垂线|相平衡|原理|重物|可变|起重机|重心|配重,简单小大|简单小低|起结构简单|机简单|简单小高|简单造价低|简单小少|机结构简单|简单重|起重机|简单小光|简单低|简单小|构简单|述结构简单|结构简单|起简单,,相平衡|原理|中垂线|重物|可变|起重机|重心|配重,50.0
204,CN85200332U,刘二中$$刘大中,太阳能热水瓶,太阳能|热水瓶|生活|利用装置,方便地访|能方便地|方便地育|能方便|方便地放|方便地|方便地收|方便地撑|方便地升|方便地测|方便地输,,太阳能|生活|利用装置,50.0
205,CN85200017U,清华大学,短耦合腔单膜可调谐半导体激光器,激光器|可调谐|单膜|耦合腔|半导体,实用增,,,50.0
